"""Попа  ЕООД"" гр. Търговище","Туршия ""Зеле Кълцано""","Pickle ""Cabbage Minced""",800 g,22.00,3800200400900,PICKLES,,,
"""Мисота М"" ООД, гр. Първомай",Селска туршия с мед,Pickles with honey,1060 g,32.00,3800208413728,PICKLES,,,
"""Мисота М"" ООД, гр. Първомай",Ловджийска салата с мед,Hunter's salad with honey,1060 g,32.00,3800208413711,PICKLES,,,
"""Грийн Дот"" ЕООД, гр. Пловдив",Кисело зеле,Sour cabbage,1500 g,30.00,3800095910027,CABBAGE,,,
"""Попа  ЕООД"" гр. Търговище","Зелев лист, 16 бр.","Cabbage leaf, 16 pcs.",16 бр.,20.00,3800200400894,CABBAGE,,,
"""Олинеза"" ООД, гр. София",Белени домати,Peeled tomatoes,820 g,15.00,3800203740515,TOMATOES,,,
"""Грийн Дот"" ЕООД, гр. Пловдив","Пукана чорбаджийка, ръчно редени","Roasted peppers ""Chorbadzhiika"", hand ordinal",480 g,15.00,3800095941120,PEPPER,,,bell pepper
"""Грийн Дот"" ЕООД, гр. Пловдив","Люти чушлета, ръчно редени","Chili peppers, hand ordinal",260 g,12.00,3800095941151,PEPPER,,,
"""Грийн Дот"" ЕООД, гр. Пловдив","Пукана шипка, ръчно редени","Roasted peppers ""Shipka"", hand ordinal",480 g,15.00,3800095941113,PEPPER,,,
"Deroni Ltd, Bulgaria, Haskovo",Печен белен пипер с подправки ,Roasted peppers with spices,560 g,25.00,3800740023157,PEPPER,,,
"Adela , Bulgaria ",Печен Капия без оцет,Roasted peppers without vinegar,680 g,25.00,3800095973152,PEPPER,,,
"""Дерони "" ООД, гр. Хасково","Зелен грах, млечен",Green peas,660 g,18.00,,PEAS,,,peas
Storko,Баклажаны с овощами,Eggplant with vegetables,540 g,35.00,3800721004403,EGGPLANT/ ZUCCHINI,,,
Storko,Баклажаны в томатном соусе,Eggplant in tomato sauce,540 g,35.00,3800721004212,EGGPLANT/ ZUCCHINI,,,
Bulgarian producer,Баклажаны с черносливом,Eggplant with plum,540 g,35.00,3800026115866,EGGPLANT/ ZUCCHINI,,,
"Deroni Ltd, Bulgaria","Тодорка, ""Баклажаны с овощами""",Eggplant with vegetables,560 g,25.00,3800740012410,EGGPLANT/ ZUCCHINI,,,
"Deroni Ltd, Bulgaria","Тодорка, ""Царская Баклажаны жаренньие с овощами, Закуска""",Roasted eggplant with vegetables,560 g,30.00,3800023601041,EGGPLANT/ ZUCCHINI,,,
"Deroni Ltd, Bulgaria","Тодорка, ""Княжеское Баклажаны жаренние со сладким перцем, Блюдо""",Roasted eggplant with sweet pepper,560 g,30.00,3800023601058,EGGPLANT/ ZUCCHINI,,,
"Deroni Ltd, Bulgaria","Тодорка, ""Жарены Баклажан с черносливом""",Roasted eggplant with plum,550 g,30.00,3800740022440,EGGPLANT/ ZUCCHINI,,,
"Deroni Ltd, Bulgaria","Тодорка, ""Баклажаны по гречески""",Eggplant greek style,560 g,25.00,3800740011796,EGGPLANT/ ZUCCHINI,,,
"Deroni Ltd, Bulgaria","Тодорка, ""Баклажаны по грузински""",Eggplant georgian style,560 g,25.00,3800740011789,EGGPLANT/ ZUCCHINI,,,
Storko,Кабачки в аджике extra,Courgettes in extra adzhika,540 g. ,35.00,3800721005448,EGGPLANT/ ZUCCHINI,,,
