,SONKA,HAM ,WEIGHT,"PRICE, DKK",BARCODE,TYPE
Asz-Kolbasz,"Fustolt, fott kotozott sonka ",Easter ham,different,65.00,seasonal,HAM 
,KOLBASZ,SAUSAGE ,WEIGHT,"PRICE, DKK",BARCODE,
Gyulahus,Gyulai kolbasz ,Classic sausage “Gyulai”,250g,39.00,5998001640200,SAUSAGE 
Gyulahus,Gyulai kolbasz 'Kisparos',Classic sausage “Gyulai” Kisparos,180g,29.00,,SAUSAGE 
Gyulahus,Gyulai Kezmuves kolbasz,Hand made style sausage,500g,59.00,,SAUSAGE 
Gyulahus,"Gyulai vastagkolbasz, enyhen csipos","Sausage “Gyulai”, slightly hot",350g,55.00,5998001645489,SAUSAGE 
Gyulahus,Parasztkolbasz ,Sausage “Farmer's”,350g,49.00,5998001642051,SAUSAGE 
Gyulahus,"Pokol kolbasz, csipos","Sausage “Hell”, very hot",200g,35.00,5998001642594,SAUSAGE 
Gyulahus,"Csabai kolbasz, enyhen csipos ","Sausage “Csabai”, slightly hot",250g,39.00,5998001641177,SAUSAGE 
Gyulahus,Langolt Kolbasz ,Flamed sausage,300g,39.00,5998001646134,SAUSAGE 
,SZALAMI,SALAMI ,WEIGHT,"PRICE, DKK",BARCODE,
Gyulahus,Szeletelt Gyulai mix,Mix of sliced “Gyulai” salami,100g,15.00,,SALAMI 
Papai Hus,Papai Mini Parizsi,Pork salami,400g,25.00,5998002344107,SALAMI 
Pick Szeged,Teliszalami ,Salami,250g,65.00,,SALAMI 
Pick Szeged,Teliszalami ,Salami,400g,110.00,,SALAMI 
Pick Szeged,Rakoczi szalami,Salami,400g,110.00,5998003111135,SALAMI 
Pick Szeged,Rakoczi paprikas szalami,Salami with red pepper,400g,110.00,5998003120786,SALAMI 
Pick Szeged,Sertes parizsi,,400g,29.00,5998003127570,SALAMI 
,MAJAS,PATE ,WEIGHT,"PRICE, DKK",BARCODE,
Gyulahus,Gyulai majas,Liver pate “Gyulai”,250g,16.00,5998001656225,PATE 
MILK FRIDGE,,,,,,
,SAJT,CHEESE,WEIGHT,"PRICE, DKK",BARCODE,
Aro,Tomlos sajt,Cheese is a tube,100g,15.00,5998985561447,CHEESE
Aro,"Tomlos sajt, pulykasonkas",Cheese in a tube with turkey flavour,100g,15.00,5998985561423,CHEESE
Sole-Mizo Zrt.,Trappista sajt,Cheese ,500g,65.00,5998200457630,CHEESE
