,TAMSIOS RUGINĖS DUONOS          ,DARK RYE BREAD,kg,"Price, DKK",EAN code
Vilniaus Duona,"""Močiutės"" juoda duona (Riekelės)",“Močiutės” black bread (Slices),"0,45",15.00,
Vilniaus Duona,"""Bočių"" tamsi duona (Riekelės)",“Bočių” dark bread (Slices),"0,5",13.00,
Vilniaus Duona,"""Vilniaus"" tamsi duona (Riekelės)",“Vilniaus” dark bread (Slices),"0,5",13.00,
Vilniaus Duona,"""Agotos"" juoda duona (Riekelės)",“Agotos” black bread (Slices),"0,8",18.00,
Vilniaus Duona,"""Agotos"" juoda duona (Puselė, raikyta)",“Agotos” black bread,0.375,12.00,
Vilniaus Duona,"""Didžioji"" tamsi duona (Kepalas, raikyta)",“Didžioji” dark bread,1 kg,16.00,
Vilniaus Duona,"""Didžioji"" tamsi duona (Puselė, raikyta)",“Didžioji” dark bread,"0,5",11.00,
Vilniaus Duona,"""Namiškių"" tamsi duona (Kepalas, raikyta)",“Namiškių” dark bread,"0,6",12.00,
Vilniaus Duona,“Urtės” juoda duona (Riekelės),“Urtės” black bread (Slices),"0,3",10.00,4770163202554
Vilniaus Duona,“Borodino” juoda duona (Hleb “Borodinskij”) (Riekelės),“Borodino” black bread (Slices),"0,5",13.00,4770163202332
Baltasis Pyragas,“Jonė” juoda duona be pridėtinių mielių (Riekelės),“Jonė” black bread,"0,8",18.00,4770777000188
Baltasis Pyragas,“Ajerų” duona (Riekelės),“Ajerų” bread (Slices),"0,65",15.00,4770777191336
Baltasis Pyragas,“Naminė” duona (Riekelės),“Naminė” bread (Slices),"0,75",17.00,4770777000140
Baltasis Pyragas,“Duonos dubenėlis”,“Bread bowl”,"0,6",12.00,no ean code
,TAMSIOS DUONOS SU PRIEDAIS,DARK BREAD WITH ADDITIONS,kg,"Price, DKK",EAN code
Vilniaus Duona,"""Urtės"" 7 grūdų duona (Riekelės)",“Urtės” 7 grain bread (Sliced),"0,3",12.00,4770163201540
Vilniaus Duona,"""Urtės"" duona su saulėgrąžomis (Riekelės)",“Urtės” bread with seeds (Sliced),"0,3",12.00,
Vilniaus Duona,"""Agotos"" juoda duona su saulėgrąžomis (Puselė, raikyta)",Agatha black bread with seeds,0.375,12.00,
Baltasis Pyragas,“Jonė” juoda duona su saulėgrązomis (Riekelės),“Jonė” black bread with seeds (Slices),"0,7",18.00,4770777000423
,ŠVIESIOS RUGINĖS DUONOS                     ,LIGHT RYE BREAD,kg,"Price, DKK",EAN code
