,FROZEN PRODUCTS,,,,,,
,,PELMEN,DUMPLINGS,"Weight, KG","Price, DKK",,Ean CODE
,ARIOLS,Pelmeņi ar vistas gaļu “Oto”,Dumplings with chicken “Oto”,400g,?,,4750499004831
,ARIOLS,Pelmeņi Bambino,Dumplings “Bambino”,1 kg,?,,4750499002455
,ARIOLS,"Pelmeni ""Mazuliski""",Dumplings “Mazuliški”,400g,?,,4750499002240
,ARIOLS,Pelmeni EKSPRESSO,Dumplings EKSPRESSO,2kg,?,,4750499001342
,DAERS,Pelmeni SUPER,Dumplings SUPER,2 kg,?,,4751000805510
,DAERS,Pelmeni SIBIRIEŠU GAUME,Dumplings SIBIRIEŠU GAUME,"2,5 kg",?,,4751000800171
,,VARENIKI,SWEET DUMPLINGS,"Weight, KG","Price, DKK",,Ean CODE
,MĀJAS VIRTUVES FABRI,Vareņiki ar āboliem,Dumplings with apples,400g,,,
,MĀJAS VIRTUVES FABRI,Vareņiki ar ķiršiem,Dumplings with cherries,400g,30.00,,4750385006680
,MĀJAS VIRTUVES FABRI,Vareņiki ar upenēm,Dumplings with black currant,400g,,,
,,SALDETI ZIVJU PRODUKTI,FROZEN FISH PRODUCTS,"Weight, KG","Price, DKK",,Ean CODE
,DAL PESCA,Zivju pirkstiņi,Fish sticks,400g,,,
,DAL PESCA,Zivju pirkstiņi saldēti,Frozen fish sticks,250g,,,
,EPIGON,Laša maltā gaļa saldēta,Frozen salmon minced meat,1 kg,,,
f,LIGNESA,"Čīles heka liemenis 80/300 saldēts, 15%","Frozen chilean hake carcass 80/300, 15%",1 kg,,,
,SANTA BREMOR,Saldētas krabju nūjiņas Bremor ,Frozen crab sticks Bremor,200g,?,,4810168001933
,SANTA BREMOR,Saldētas krabju nūjiņas Econom,Frozen crab sticks Econom,100g,?,,4810168002749
,VICI,Zivju pirkstiņi,Fish sticks,250g,,,
,ZAMELSONS,Zivju zupa,Fish soup,550g,,,
,,SALDETAS MAIZES PRODUKTI,FROZEN BREAD PRODUCTS,"Weight, KG","Price, DKK",,Ean CODE
,DELIFRANCE,Kafijas eklērs,Coffee eclairs,640g,,,
,DELIFRANCE,Šokolādes eklērs,Chocolate eclairs,640g,,,
,DELIFRANCE,TIRAMISU kūka,Cake “Tiramisu”,610g,,,
,LATVIJAS MAIZNIEKS,Pīradziņš īrisa-ābolu saldēts (6x60g),Frozen toffee-apple pies (6x60g),360g,?,,4750192761369
,LATVIJAS MAIZNIEKS,PĪRĀGS GAĻAS (8x50G),Frozen meat pies (8x50g),400g,?,,4750192761383
,LATVIJAS MAIZNIEKS,PĪRĀGS AR BEKONU UN OLU (6x65G),Frozen pie with bacon and egg (6x65g),390g,?,,4750192761376
,LATVIJAS MAIZNIEKS,Maizites ar abolu-irisa pildijumu,Apple-toffee pastry ,360g,?,,4750192761369
,MANTINGA,"Čebureks izcepts, saldēts","Cheburek cooked, frozen",130g,,,
,MANTINGA,Franču kruasāns ar karameļu pildījumu saldēts (36x90g),Frozen french croissant with caramel filling (36x90g),,,,
,,SALDETA GALA PRODUKTI,FROZEN MEAT PRODUCTS,"Weight, KG","Price, DKK",,Ean CODE
,Sanitex,Saldēts trusis,Frozen rabbit with a head,2.062,110/kg,,2595048020625
,UVIC,Kotletes “Nr 1”,"Meatballs ""No 1""",900g,,,
,Vilniaus paukštynas,Saldeti broilera sparni,Frozen chicken wings,~1500g,?,,23513112
,,KAPOSTU TITENI,CABBAGE ROLLS,"Weight, KG","Price, DKK",,Ean CODE
,ARIOLS,Kapostu titeni sveramie,Cabbage rolls,2 kg,?,,4750499001007
,,PANKŪKAS,PANKACKES,"Weight, KG","Price, DKK",,Ean CODE
,ARIOLS,Pankūkas ar šķiņķi un sieru,Pancakes with ham and cheese,500g,?,,4750499000598
,ARIOLS,Pankūkas ar kūpiantu cūkgalu un sieru,Panckaes with ham and cheese,500g,?,,4750499003384
,,SALDETI DARZENI,FROZEN VEGETABLES,"Weight, KG","Price, DKK",,Ean CODE
,DUJARDIN,ZAĻIE SPARĢEĻI,Green asparagus,500g,,,
,HORTEX,Ukraiņu borščs,Ukrainian borsch,400g,,,
,,SALDETAS OGAS,FROZEN BERRIES,"Weight, KG","Price, DKK",,Ean CODE
,VETRIJA,Mellenes saldētas,Frozen blueberries,400g,,,
,VETRIJA,Saldētas dzērvenes,Frozen cranberries,1 kg,?,,4771634070238
,VETRIJA,Saldēti ķirši,Frozen cherries,400g,,,
,VETRIJA,Upenes saldētas,Frozen black currants,1 kg,?,,4771634070252
,,KŪKA,BUNS/ RINGS,"Weight, KG","Price, DKK",,Ean CODE
,CRISTELLA,Kūka saldēta Vīnes šokolādes (16pcs x 135g),Frozen Viennese chocolate cake (16pcs x 135g),"2,16 kg",12.00,,4742696001942
,CRISTELLA,Medus kūka saldēta,Frozen honey cake,"2,08 kg",12.00,,
,,BIEZPIENA SIERINŠ,SWEET CURD CHEESE,"Weight, KG","Price, DKK",,Ean CODE
,KARUMS,Biezpiena sierinš ar kokosriekstu skaidinam,Sweet curd cheese with coconut,45g,7.00,,4750050341412
,KARUMS,Biezpiena sierinš ar rozinem,Sweet curd cheese with raisins,45g,7.00,,4750050341740
,KARUMS,Biezpiena sierinš ar mellenem,Sweet curd cheese with bilberries,45g,7.00,,4750050342112
,KARUMS,Biezpiena sierinš karamelu,Sweet curd cheese with caramel in caramel coating,45g,7.00,,4750050341481
,KARUMS,Biezpiena sierinš vanilla,Sweet curd cheese vanilla,45g,7.00,,4750050341405
,KARUMS,Biezpiena sierinš ar šokolades gabaliniem,Sweet curd cheese with chocolate pieces,45g,7.00,,4750050341511
,,SALDEJUMS,ICE CREAM,"Weight, KG","Price, DKK",,Ean CODE
,AUGUSTO,Saldējums Sendvičs Krievu plombīrs,Ice Cream Sandwich (plombir),200ml,,,
,AUGUSTO,Saldējums Sendvičs Krēms brulē,Ice Cream Sandwich Cream Brulee,200ml,,,
,BALBIINO,Ledus,Ice,1 kg,,,
,DRUVAS PĀRTIKA,"Plombīra-olu liķiera ar rozīnēm šok., marmelādi","Ice cream with egg liqueur with raisins, chocolate and marmalade",1L,?,,4750058174111
,EKSELENCE,Saldējums kļavu sīrups ar valriekstiem,Ice cream with maple syrup with walnuts,1L,?,,4750025570908
,KĀRUMS,Saldējums Šokolādes,Chocolate ice cream,1L,?,,4740188000701
,KĀRUMS,Saldējums Vaniļas,Vanilla ice cream,1L,?,,4740188000695
,KĀRUMS,Saldējums Šokolādes,Chocolate ice cream,56g,10.00,,4740188000664
,KĀRUMS,Saldējums Vaniļas,Vanilla ice cream,56g,10.00,,4740188000657
,DRUVAS SALDEJUMS,Plombira saldejums,Ice cream (plombir),75g,10.00,,4750058013106
,DRUVAS SALDEJUMS,Plombira saldejums rozinu,Ice cream with rosins,75g,10.00,,4750058230466
,DRUVAS SALDEJUMS,Plombira saldejums šokolades,Ice cream with chocolate,75g,10.00,,4750058014103
,Premia,Karamelu garšas krejuma Gotina,Caramel ice cream Cow on stick,60g,10.00,,4770167462855
,Premia,Vanilas sadejums ČAU,Vanilla ice cream ČAU,450g,26.00,,4740093005914
,Premia,Šokolades sadejums ČAU,Chocolate ice cream ČAU,450g,26.00,,4740093005921
,Rigas Pienas Komb,Ekselence krejuma karamelu saldejums glazura parklats ar karamelu merci un piena sokoladi,EKSELENCE cream and caramel ice cream covered with caramel sauce and chocolate milk,95g,18.00,,4750025890198
,Rigas Pienas Komb,Ekselence krejuma karamelu saldejums glazura parklats ar kirsu merci un piena sokoladi,EKSELENCE cream and caramel ice cream coated with cherry sauce and milk chocolate,95g,18.00,,4750025890105
,Rigas Pienas Komb,Ekselence saldejums ar kiršu merci un kiršiem,EKSELENCE ice cream with cherry sauce and cherry,480g,70.00,,4750025570854
,Laima,“Serenade” krejuma saldejums,Ice cream made of milk and cream with apricot filling and hazelnuts,600g,75.00,,4750075900359
,SWEETS/ SNACKS/ CHOCOLATE/ BUISCUITS,,,,,,
,,ČIPSI,CHIPS,"Weight, KG","Price, DKK",,Ean CODE
,ĀDAŽU ČIPSI,Čipsi ar dillēm,Chips with dill,150g,17.00,,4750024201889
,ĀDAŽU ČIPSI,Čipsi ar krējumu un sīpoliem,Chips with sour cream and onions,150g,17.00,,4750024201865
,ĀDAŽU ČIPSI,Čipsi ar sieru,Chips wth cheese,150g,17.00,,4750024201858
,ESTRELLA,Čipsi ar aromātiskām dillēm,Chips with the aromatic dill,150g,18.00,,4779028340172
,ESTRELLA,Čipsi ar lauku krējuma un sīpolu garšu,Chips with rural sour cream and onion flavor,150g,18.00,,4779028340134
,ESTRELLA,Čipsi ar grileta bekona garšu,Chips with grilled bacon flavor,140g,18.00,,4779028343708
,ESTRELLA,Čipši ar maiga,Chips with mild,150g,18.00,,4779028343340
,PĒRNES,Kartupeļu plāksnes ar diļļu garšu,Potato plate with dill flavor,75g,,,
,PĒRNES,Kartupeļu plāksnes ar kečupa garšu,Potato plate with ketchup flavor,75g,,,
,PĒRNES,Kartupeļu plāksnes ar siera garšu,Potato plate with cheese flavor,75g,,,
,PĒRNES,Kartupeļu plāksnes ar sīpoliem un bekonu,Potato plate with onions and bacon,75g,,,
,,SALMINI,STICKS,"Weight, KG","Price, DKK",,Ean CODE
,DRAUGU,Salmiņi ar magonēm,Straws with poppies,150g,10.00,,
,DRAUGU,Salmiņi saldie,Sweet straws,150g,10.00,,
,,GRAUZDETAS MAIZES UZKODAS,DRIED BREAD SNACKS,"Weight, KG","Price, DKK",,Ean CODE
,KIRIESHKI,Grauzdiņi ar bekona garšu,Toast with bacon flavor,40g,7.00,,4607010740016
,KIRIESHKI,Grauzdiņi ar salami garšu,Toasted bread with salami flavor,40g,7.00,,4607010740191
,KIRIESHKI,Grauzdiņi ar siera garšu,Toasts with cheese taste,40g,7.00,,4607010740030
,KIRIESHKI,Grauzdiņi ar šķiņķa un siera garšu,Toast with ham and cheese taste,40g,7.00,,4607010740078
,KIRIESHKI,Grauzdiņi Kirieshki ar aukstās gaļas un mārrutku garšu,Toasts Kirieshki with cold meat and horseradish flavor,40g,7.00,,
,KIRIESHKI,Grauzdiņi Kirieshki Borodinskije ar ķiploka garšu,Toasts Kirieshki Borodinskije with garlic flavor,40g,7.00,,
,KIRIESHKI,Grauzdiņi Kirieshki Max ar mednieka desiņu garšu,Toasts Kirieshki Max with hunter sausage taste,40g,7.00,,4607010748616
