,ALCOHOL DRINKS,,,,,,
,,PIWO,BEER,WEIGHT,"PRICE, DKK",PANT,BARCODE
,,Piwa butlekowane,Bottle beers (pant price is NOT included),,,,
,Żywiec,Piwo Żywiec Premium,Zywiec Premium beer,500ml,11.00,1.00,5901559130000
,Harnaś,Piwo Harnaś Okocimski,Harnas Okocimski beer,500ml,11.00,1.00,5900014002180
,Lech,Piwo Lech Premium,Lech Premium beer,500ml,11.00,1.00,5900490000427
,Leżajsk,Piwo Leżajsk,Lezajsk beer,500ml,11.00,1.00,5900227000676
,Perła,Piwo Perła export,Perła beer export,500ml,11.00,1.00,5905927001695
,,Piwo bezalkoholowe butelkowane,Soft beer in bottle (pant price is NOT included),,,,
,Lech,Piwo Lech free,Lech free beer,330ml,11.00,1.00,5901359122021
,,Piwo smakowe butelkowane,Flavored beer in bottle (pant price is NOT included),,,,
,Redd's,Piwo Redd's cranberry crush,Redd's cranberry crush beer,400ml,11.00,1.00,5942016301793
,Redd's,Piwo Redd's gruszka i chili,Redd's gruszka i chili beer,400ml,11.00,1.00,5901359044897
,Redd's,Piwo Redd's malina i granat,Redd's malina i granat beer,400ml,11.00,1.00,5901359024028
,,Piwo w puszce,Beer in can (pant price is NOT included),,,,
,Tatra,Piwo Tatra,Tratra beer,500ml,11.00,1.00,5901559840008
,Kasztelan,Piwo Kasztelan Niepasteryzowane,Kasztelan Niepasteryzowane beer,500ml,11.00,1.00,5903082205569
,Tyskie,Piwo Tyskie,Tyskie beer,500ml,11.00,1.00,5901359000237
,Żubr,Piwo Żubr,Zubr beer,500ml,11.00,1.00,5900877000293
,Lech,Piwo Lech,Lech beer,500ml,11.00,1.00,5900490000182
,Bosman,Piwo Bosman,Bosman beer,500ml,11.00,1.00,5901594000122
,Warka,Piwo Warka,Warka beer,500ml,11.00,1.00,5902746320020
,Warka,Piwo Warka Strong,Warka Strong beer,500ml,11.00,1.00,5902746320013
,Harnaś,Piwo Harnaś Okocimski,Harnas Okcimski beer,500ml,11.00,1.00,5900014004245
,,Piwo w puszce smakowe,Flavored beer in can (pant price is NOT included),,,,
,Warka,Piwo Warka Radler,Warka Raddler beer,500ml,11.00,1.00,5902746642054
,Redd's,Piwo Redd's żurawina,Redd's zurawina beer,500ml,11.00,1.00,5901359352039
,Redd's,Piwo Redd's gruszka i chili,Redd's gruszka i chili beer,500ml,11.00,1.00,5901359044910
,Redd's,Piwo Redd's jablko i trawa cytrynowa,Redd's jablko i trawa cytrynowa beer,500ml,11.00,1.00,5901359034669
,Redd's,Piwo Redd's malina i granat,Redd's malina i granat beer,500ml,11.00,1.00,5901359332031
,,WODKA,VODKA,,,,
,Żubrówka,Żubrówka biała,Zubrowka white vodka,700ml,130.00,,5900343001915
,Żubrówka,Żurbówka aromatyzwana trawa,Zubrowka Bison grass flavoured vodka,700ml,120.00,,5900343003513
,Wyborowa,Oddka by/ wyborowa swieżo ścięta trawa,Oddka by/ wyborowa fresh cut grass,700ml,100.00,,5900191012408
,Wyborowa,Oddka by/ wyborowa szarlotka,Oddka by/ wyborowa apple pie,700ml,100.00,,5900191012415
,Krupnik,Wódka Krupnik Premium,Krupnik Premium Vodka,700ml,130.00,,5900595004696
,Sobieski,Wódka Sobieski Premium,Sobieski Premium Vodka,700ml,120.00,,5908310148199
,Soplica,Spolica Orzech Laskowy,Soplica Hazelnut,500ml,110.00,,5900471025623
,Spolica,Soplica Wiśniowa,Soplica Cherry,500ml,110.00,,5900471025609
,Soplica,Soplica Śliwkowa,Soplica Plum,500ml,110.00,,5900471025272
,Soplica,Soplica Pigwowa,Soplica Quince,500ml,110.00,,5900471025630
,Soplica,Soplica Truskawkowa,Soplica Strawberry,500ml,110.00,,5900471000699
,,LIKIER,LIQUEUR,WEIGHT,"PRICE, DKK",,BARCODE
,Krupnik,Old Krupnik Liqueur,Old Krupnik Liqueur,700ml,120.00,,5900595002791
,NON ALCOHOL DRINKS,,,,,,
,,WODA,WATER (pant price is NOT included),WEIGHT,"PRICE, DKK",PANT,BARCODE
,Żywiec Zdrój,Żywiec Zdrój niegazwowana,Zywiec Zdrioj uncarbonated,5l,27.00,3.00,5900541000123
,Żywiec Zdrój,Żywiec Zdrój niegazwowana,Zywiec Zdroj uncarbonated,"1,5l",9.00,3.00,5900541000000
,Żywiec Zdrój,Żywiec Zdrój figlarne jabłko,Zywiec Zdroj Apple,"1,5l",9.00,3.00,5900541000413
,Żywiec Zdrój,Żywiec Zdrój tajemnicza malina,Zywiec Zdroj Raspberry,"1,5l",9.00,3.00,5900541001212
,Żywiec Zdrój,Żywiec Zdrój sloneczna brzoskwinia,Zywiec Zdroj Peach,"1,5l",9.00,3.00,5900541003049
,Żywiec Zdrój,Żywiec Zdrój sloneczna brzoskwinia,Zywiec Zdroj Peach,500ml,8.50,1.50,5900541003018
,Żywiec Zdrój,Żywiec Zdrój figlarne jabłko,Zywiec Zdroj Apple,500ml,8.50,1.50,5900541004022
,Żywiec Zdrój,Żywiec Zdrój zmysłowa wiśnia,Zywiec Zdroj Cherry,500ml,8.50,1.50,5900541001397
,Żywiec Zdrój,Żywiec Zdrój zakręcona cytryna,Zywiec Zdroj Lemon,500ml,8.50,1.50,5900541000406
,,SMAKOWE NAPOJE GAZOWANE,FLAVOURED CARBONATED DRINKS (pant price is NOT included),WEIGHT,"PRICE, DKK",PANT,BARCODE
,Mirinda,Mirinda napój gazowany o smaku pomarańczowym,Mirinda fizzy drink with orange flavor,2l,19.00,3.00,5900497332002
