,FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,,,!!! NOTE!!!
,BRAND,,,WEIGHT,PRICE,,,,SOME MEAT PRICES
,,Categorie BERE,Category BEER,QUAN.,PRICE,,CODEBAR,PANT,HAVE TO BE RECHECKED
,URSUS BREWERIES,Ciucas Brasov,Ciucas Brasov,500,11,,5 942016 301212,1.00,AND APPROVED 
,URSUS BREWERIES,Ursus Premium,Ursus Premium,330 ml,11,,5 942016 001112,1.00,
,URSUS BREWERIES,Timisoreana Original,Timisoreana Original,400 ml,11,,5 942016 302042,1.00,
,URSUS BREWERIES,Redd’s – Cranberry Crush,Redd’s – Cranberry Crush,400ml,11,,5 942016 301793,1.00,
,URSUS BREWERIES,Redd’s Mojito,Redd’s Mojito,500ml,11,,5 942016 302097,1.00,
,URSUS BREWERIES,Redd’s Light,Redd’s Light,500ml,11,,5 942016 302394,1.00,
,URSUS BREWERIES,Redd’s Cranberry Crush,Redd’s Cranberry Crush,500 ml,11,,,1.00,
,URSUS BREWERIES,Ciucas la PET,Ciucas (plastic big bottle),"2,5 l",37,,5 942016 301571,3.00,( 37 kr + 3 kr for the PANT )
,URSUS BREWERIES,Timisoreana la PET,Timisoreana (plastic big bottle),"2,5 l ",37,,5 942016 301557,3.00,( 37 kr + 3 kr for the PANT )
,,Categorie VINURI,Category WINES,,,,,,
,MURFATLAR,Lacrima lui Ovidiu White - 5 ani,Ovidiu's Tears White- 5 years,750 ml,"67,-",,,,
,ROMANIA,Lacrima lui Ovidiu Red - 5 ani,Ovidiu's Tears Red - 5 years,750 ml,"67,-",,,,
,ROMANIA,Lacrima lui Ovidiu - 12 ani,Ovidiu's Tears - 12 years,750 ml,"110,-",,5 942002 300076,,
,ROMANIA,Conu’ Alecu demisec Sauvignon Blanc,Conu' Alecu – Semi-dry Sauvignon Blanc,750 ml,"59,-",,5 942002 300359,,
,ROMANIA,Zestrea - Pinot Noir demidulce,Zestrea – Pinot Noir semi-sweet,750 ml,"49,-",,5 942002 30618,,
,ROMANIA,Zestrea – merlot demisec,Zestrea – Merlot semi-dry,750 ml,"49,-",,5 942002 000921,,
,ROMANIA,Zestrea – Cabernet Sauvignon demise,Zestrea – Cabernet Sauvignon semi-dry,750 ml,"49,-",,5 942002 000914,,
,ROMANIA,Zestrea – Muscat Ottonel demidulce,Zestrea – Muscat Ottonel semi-sweet,750 ml,"47,-",,5 942002 000877,,
,ROMANIA,Zestrea – Pinot Gris demidulce,Zestrea – Pinot Gris semi-sweet,750 ml,"47,-",,5 942002 000884,,
,ROMANIA,Zestra Pinot Noir,Zestra Pinot Noir,750 ml,"49,-",,,,
,ROMANIA,Zestra Cabernet Sauvignon,Zestra Cabernet Sauvignon,750 ml,"47,-",,5 942002 000914,,
,ROMANIA,Catalina alb demisec,Catalina – White wine semi-dry,750 ml,"47,-",,5 942046 700122,,
,COTNARI,Tamaioasa Romaneasca,Roumanian Muscatel,750 ml,"47,-",,5 942046 482318,,
,COTNARI,Casa de Piatra – Alb – Demisec,Casa de Piatra – White wine semi-dry,750ml,"47,-",,5 942046 700221,,
,COTNARI,Grasa de Cotnari – Alb – Dulce,Grasa de Cotnari – White wine sweet,750ml,"47,-",,5 942046 700207,,
,COTNARI,Grasa de Cotnari – Demidulce,Grasa de Cotnari – White wine semi-sweet,750 ml,"47,-",,5 942046 482219,,
,COTNARI,Grasa de Cotnari – Demisec,Grasa de Cotnari – White wine semi-dry,750 ml,"47,-",,5 942046 700955,,
,COTNARI,Fateasca Alba,Feteasca Alba,750 ml,"47,-",,5 942046 482110,,
,,Categorie MEZELURI,"Category SALAMI, SAUSAGE",,,,,,
,CRIS-TIM,Toba,Product from swine's entrails,500 g,"35,-",,5 941265 010173,,<--- RECHECK PRICE
,CRIS-TIM,Matache Macelaru – Pastrama vita,Beef jerky,-,"160,- / Kg",,NO BC ON PRODUCT,,<--- RECHECK PRICE
,CRIS-TIM,Matache macelaru – Sunca taraneasca,Country/rustic ham,-,"75,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Matache macelaru – Cotlet haiducesc,Outlaw chop,-,"75,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Matache macelaru – Toba,Product from swine's entrails,-,"100,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Matache macelaru - Ciolan afumat,Smoked bone,-,"90,-/ Kg",,,,
,CRIS-TIM,Matache Macelaru – Carnati cabanos,Cabanos Sausages,300g,"30,-",,5 941265 014171,,
,CRIS-TIM,Bacon,Bacon,,"110,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Piept pui,Chicken fillet,,"110,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Gusa afumata,Goiter smoked,,"75,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Carnati semiafumati,Smoked sausages,450 g,"40,-",,5 941265 006817,,
,CRIS-TIM,Mini salam Sasesc,Sasesc mini salami,350 g,"45,-",,5 941265 000419,,
,CRIS-TIM,Carnati bucovineni,Bucovina sausages,,"75,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Carnati Cabanos,Cabanos sausages,,"85,- /Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Salam de vara,Summer sausage,300 g,"30,-",,5 941265 000464,,
,CRIS-TIM,Salam de porc,Pork salami,500 g,"40,-",,5 941265 011439,,
,CRIS-TIM,Salam uscat,Dry salami,350 g,"35,-",,5 941265 009276,,
,CRIS-TIM,Salam uscat de vara,Dry salami – summer,300 g,"30,-",,5 941265 016526,,
,CRIS-TIM,Salam Victoria Mini,Mini-salami Victoria,400g,"30,-",,5 941265 000228,,
,CRIS-TIM,Salam ardelenesc,Ardeal salamy,280 g,"35,-",,5 941265 013419,,
,CRIS-TIM,Salam banatean,Banat salami,340 g,"38,-",,5 941265 002840,,
,CRIS-TIM,Mini parizer cu pui,Mini chicken rosy sausage,500 g,"40,-",,5 941265 000167,,
,CRIS-TIM,Muschi file afumat,Smoked fillet,-,"100,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Kaizer afumat,Smoked bacon,-,"100,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Sunculita taraneasca afumata,Peasant smoked ham,-,"100,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Costita afumata extra,Smoked ribs,-,"100,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Jumari de porc,Pork cracklings,200g,"22,-",,,,
,CRIS-TIM,Leber,Leber,,"19,-",,,,
,CRIS-TIM,Caltabos,Caltabos ,,"19,-",,,,
,CRIS-TIM,Slanina afumata,Smoked bacon,-,"75,- / Kg",,NO BC ON PRODUCT,,
,,Categorie PATE,Category PATE,,,,,,
,MANDY FOODS,Bucegi - pate de pui,Bucegi - Chicken pate,100 g,"8,-",,,,
,MANDY FOODS,Bucegi - pate de porc,Bucegi - Pork pate,200 g,"16,-",,,,
,MANDY FOODS,Sadu - pate de porc,Sadu - Porc pate,300 g,"19,-",,,,
,MANDY FOODS,Pate vegetal original,Original vegetal pate,120 g,"8,-",,5 941334 002122,,
,MANDY FOODS,Pate vegetal original,Original vegetal pate,200 g,"12,-",,5 941334 000968,,
,MANDY FOODS,Pate vegetal cu masline,Vegetal pate with olives,120 g,"8,-",,5 941334 002207,,
,MANDY FOODS,Pate vegetal cu masline,Vegetal pate with olives,200 g,"12,-",,5 941334 002214,,
,MANDY FOODS,Pate vegetal cu spanac,Vegetal pate with spinach,120 g,"8,-",,5 941334 002221,,
