,SWEET PRODUCTS,,,,,,
,,ПРЯНИКИ/ СУШКИ,GINGERBREAD/ KRINGLE PASTRIES,WEIGHT,PRICE,,BARCODE
,Родные Просторы,"Пряники ""Холодок""","Gingerbread ""Холодок"" (""Cold"")",350g,16.00,,
,Родные Просторы,"Пряники ""Медовые""","Gingerbread “Медовые"" (""Honey"")",350g,16.00,,4260130030810
,Родные Просторы,"Пряники ""Клюквенные""","Gingerbread ""Клюквенные"" (""Cranberries"")",350g,16.00,,4260130030865
,Родные Просторы,Пряники с карамельным вкусом,"Gingerbread "" с карамельным вкусом"" (""caramel"")",350g,16.00,,4260130031183
,Родные Просторы,Пряники фруктовые,"Gingerbread ""Фруктовые"" (""Fruits"")",350g,16.00,,4260130030827
,Родные Просторы,Пряники мятные,"Gingerbread ""Мятные""(""Mint"")",350g,16.00,,4260130030803
,Родные Просторы,Пряники ореховые,"Gingerbread ""Ореховые"" (""Nuts"")",350g,16.00,,4260130031084
,Родные Просторы,Пряники клубничные,"Gingerbread ""Клубничные""(""Strawberry"")",350g,16.00,,4260130031008
,Родные Просторы,Пряники ванильные,"Gingerbread ""Ванильные""(""Vanilla"")",350g,16.00,,4260130030858
,Родные Просторы,Пряники северные,"Gingerbread ""Северные""(""Northern"")",350g,16.00,,4260130031077
,Родные Просторы,Пряники запарожские,"Gingerbread ""Запарожские""(""Zaparozh"")",350g,16.00,,4260130030841
,Родные Просторы,Пряники шоколадные ,Gingerbread chocolate,350g,16.00,,4260130030995
,Бабушкины сладости,"Пряники ""Кульбабка весенняя""","Gingerbread ""Кульбабка весенняя"" (""Spring"")",450g,18.00,,4820008833198
,Бабушкины сладости,Пряники сказочные,"Gingerbread ""Fairytale"" ",450g,18.00,,4820008833228
,Бабушкины сладости,Пряники аромат мяты,Gingerbread with mint aroma,450g,18.00,,4820008833181
,Пензенская Кондитерская Фабрика,"Пряники ""Северянка""","Gingerbread ""Северянка"" (""Northern"")",400g,18.00,,4601021047843
,Пензенская Кондитерская Фабрика,Пряники с ароматом мяты,"Gingerbread ""С ароматом мяты"" (""Mint flavoured"")",400g,18.00,,4601021044606
,Wija,"Пряники ""Колосок""","Gingerbread ""Колосок"" (""Spica"")",450g,18.00,,4820008833204
,Wija,"Пряники ""Сказочные""","Gingerbread ""Сказочные"" (""Fairytale"")",450g,18.00,,4820008833228
,Wija,"Пряники ""Кульбабка весенняя""","Gingerbread ""Кульбабка весенняя"" (""Spring"")",450g,18.00,,4820008833198
,OS Retail GmbH,"Пряники ""Подмосковные""","Gingerbread ""Подмосковные"" (""Near Moscow"")",360g,16.00,,4260352190767
,OS Retail GmbH,Пряники со сгущенкой,Gingerbread with condensed milk,360g,16.00,,4260352190774
,OS Retail GmbH,Пряники вишневые,Gingerbread with cherry,360g,16.00,,4260352190798
,H&B,"""Русское Чаепитие"" сушки любительские","Kringle pastries ""Любительские"" ",500g,20.00,,4820076920226
,H&B,"""Русское Чаепитие"" сушки яичные","Kringle pastries “Яичные” (""With eggs"")",500g,20.00,,4820076920196
,H&B,"""Русское Чаепитие"" сушки с маком",Kringle pastries with poppy seeds,500g,35.00,,4820076920202
,H&B,"""Русское Чаепитие"" сушки ванильные",Kringle pastries with vanilla,500g,20.00,,4820076920233
,H&B,"""Русское Чаепитие"" сушки овальные",Kringle pastries oval,500g,20.00,,4820076920219
,H&B,"Сушка ""Малютка"" любительская","Kringle pastries ""Любительская"" ",500g,20.00,,4820076920226
,H&B,"Сушка ""Малютка"" с маком",Kringle pastries with poppy seeds,500g,20.00,,4820076920271
,H&B,"Сушка ""Малютка"" ванильная",Kringle pastries with vanilla,500g,20.00,,4820076920295
,H&B,"Сушка ""Малютка"" глазированная",Kringle pastries glazed,500g,20.00,,4820076920288
,Ксюша,"Сушки ""От Ксюши"" классические",Kringle pastries classic,500g,20.00,,8594166820241
