FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,
BRAND,,,WEIGHT,PRICE,,
,BERE,BEER,QUAN.,PRICE,CODEBAR,TYPE
URSUS BREWERIES,Ciucas Brasov,Ciucas Brasov,500ml,11,5 942016 301212,BEER
,Ursus Premium,Ursus Premium,330 ml,11,5 942016 001112,BEER
,Timisoreana Original,Timisoreana Original,400 ml,11,5 942016 302042,BEER
,Redd’s – Cranberry Crush,Redd’s – Cranberry Crush,400ml,11,5 942016 301793,BEER
,Redd’s Mojito,Redd’s Mojito,500ml,11,5 942016 302097,BEER
,Redd’s Light,Redd’s Light,500ml,11,5 942016 302394,BEER
,Redd’s Cranberry Crush,Redd’s Cranberry Crush,500 ml,11,,BEER
,Ciucas la PET,Ciucas (plastic big bottle),"2,5 l",37,5 942016 301571,BEER
,Timisoreana la PET,Timisoreana (plastic big bottle),"2,5 l ",37,5 942016 301557,BEER
,VINURI,WINES,,,,
MURFATLAR,Lacrima lui Ovidiu White - 5 ani,Ovidiu's Tears White- 5 years,750 ml,"67,-",,WINES
ROMANIA,Lacrima lui Ovidiu Red - 5 ani,Ovidiu's Tears Red - 5 years,750 ml,"67,-",,WINES
,Lacrima lui Ovidiu - 12 ani,Ovidiu's Tears - 12 years,750 ml,"110,-",5 942002 300076,WINES
,Conu’ Alecu demisec Sauvignon Blanc,Conu' Alecu – Semi-dry Sauvignon Blanc,750 ml,"59,-",5 942002 300359,WINES
,Zestrea - Pinot Noir demidulce,Zestrea – Pinot Noir semi-sweet,750 ml,"49,-",5 942002 30618,WINES
,Zestrea – merlot demisec,Zestrea – Merlot semi-dry,750 ml,"49,-",5 942002 000921,WINES
,Zestrea – Cabernet Sauvignon demise,Zestrea – Cabernet Sauvignon semi-dry,750 ml,"49,-",5 942002 000914,WINES
,Zestrea – Muscat Ottonel demidulce,Zestrea – Muscat Ottonel semi-sweet,750 ml,"47,-",5 942002 000877,WINES
,Zestrea – Pinot Gris demidulce,Zestrea – Pinot Gris semi-sweet,750 ml,"47,-",5 942002 000884,WINES
,Zestra Pinot Noir,Zestra Pinot Noir,750 ml,"49,-",,WINES
,Zestra Cabernet Sauvignon,Zestra Cabernet Sauvignon,750 ml,"47,-",5 942002 000914,WINES
,Catalina alb demisec,Catalina – White wine semi-dry,750 ml,"47,-",5 942046 700122,WINES
COTNARI,Tamaioasa Romaneasca,Roumanian Muscatel,750 ml,"47,-",5 942046 482318,WINES
