,TAMSIOS RUGINĖS DUONOS ,DARK RYE BREAD,kg,"Price, DKK",EAN code,TYPE
Vilniaus Duona,"""Močiutės"" juoda duona (Riekelės)",“Močiutės” black bread (Slices),"0,45",15.00,4770163201236,DARK RYE BREAD
Vilniaus Duona,"""Močiutės"" juoda duona",“Močiutės” black bread,"4,3 kg",140.00,4770163201335,DARK RYE BREAD
Vilniaus Duona,"""Bočių"" tamsi duona (Riekelės)",“Bočių” dark bread (Slices),"0,5",13.00,,DARK RYE BREAD
Vilniaus Duona,"""Vilniaus"" tamsi duona (Riekelės)",“Vilniaus” dark bread (Slices),"0,5",13.00,,DARK RYE BREAD
Vilniaus Duona,"""Agotos"" juoda duona (Riekelės)",“Agotos” black bread (Slices),"0,8",18.00,4770163199168,DARK RYE BREAD
Vilniaus Duona,"""Agotos"" juoda duona (Puselė, raikyta)",“Agotos” black bread,0.375,12.00,,DARK RYE BREAD
Vilniaus Duona,"""Didžioji"" tamsi duona (Kepalas, raikyta)",“Didžioji” dark bread,1 kg,16.00,,DARK RYE BREAD
Vilniaus Duona,"""Didžioji"" tamsi duona (Puselė, raikyta)",“Didžioji” dark bread,"0,5",11.00,,DARK RYE BREAD
Vilniaus Duona,"""Namiškių"" tamsi duona (Kepalas, raikyta)",“Namiškių” dark bread,"0,6",12.00,,DARK RYE BREAD
Vilniaus Duona,“Urtės” juoda duona (Riekelės),“Urtės” black bread (Slices),"0,3",10.00,4770163202554,DARK RYE BREAD
Vilniaus Duona,“Borodino” juoda duona (Hleb “Borodinskij”) (Riekelės),“Borodino” black bread (Slices),"0,5",13.00,4770163202332,DARK RYE BREAD
Vilniaus Duona,"""Rugelis"" autentiškos duonos (riekelės)",,350g,?,,DARK RYE BREAD
Baltasis Pyragas,“Jonė” juoda duona be pridėtinių mielių (Riekelės),“Jonė” black bread,"0,8",18.00,4770777000188,DARK RYE BREAD
Baltasis Pyragas,“Ajerų” duona (Riekelės),“Ajerų” bread (Slices),"0,65",15.00,4770777191336,DARK RYE BREAD
sausainiai,“Naminė” duona (Riekelės),“Naminė” bread (Slices),"0,75",17.00,4770777000140,DARK RYE BREAD
dvaro,“Duonos dubenėlis”,“Bread bowl”,"0,6",12.00,no ean code,DARK RYE BREAD
