ALCOHOL DRINKS,,,,,,
,PIWO,BEER,WEIGHT,"PRICE, DKK",BARCODE,Type
,Piwa butlekowane,Bottle beers (pant price is NOT included),,,,Type
Żywiec,"Piwo Żywiec Premium, 5.6% alk","Zywiec Premium beer, 5.6% alc",500ml,11,5901559130000,Type
Żywiec,Piwo Zywiec Premium bezalkoholowe,Zywiec Premium non alcohol beer,330ml,11,5900699100751,Type
Żywiec,Piwo Zywiec Premium bezalkoholowe 6-pack (6x330ml),Zywiec Premium non alcohol beer 6-pack (6x330ml),330ml,60,5900699100768,Type
Żywiec,"Piwo Zywiec Porter, 9.5% alk","Piwo Zywiec Porter, 9.5% alc",330ml,11,5901559460008,Type
Żywiec,"Piwo Zywiec Bock, 6.5% alk","Piwo Zywiec Bock, 6.5% alc",500ml,12,5901559952305,Type
Harnaś,"Piwo Harnaś Okocimski, 6% alk","Harnas Okocimski beer, 6% alc",500ml,11,5900014002180,Type
Lech,"Piwo Lech Premium, 5% alk","Lech Premium beer, 5% alc",500ml,11,5900490000427,Type
Leżajsk,"Piwo Leżajsk, 5.5% alk","Lezajsk beer, 5.5% alc",500ml,11,5900227000676,Type
Perła,"Piwo Perła export, 5.6% alk","Perła beer export, 5.6% alc",500ml,11,5905927001695,Type
Lomza Export,"Piwo Lomza, 5,7% alk","Lomza beer, 5,7% alc",500ml,11,5903538900628,Type
,Piwo bezalkoholowe butelkowane,Soft beer in bottle (pant price is NOT included),,,,Type
Lech,Piwo Lech free,Lech free beer,330ml,11,5901359122021,Type
,Piwo smakowe butelkowane,Flavored beer in bottle (pant price is NOT included),,,,Type
Redd's,Piwo Redd's cranberry crush,Redd's cranberry crush beer,400ml,11,5942016301793,Type
Redd's,Piwo Redd's gruszka i chili,Redd's gruszka i chili beer,400ml,11,5901359044897,Type
Redd's,Piwo Redd's malina i granat,Redd's malina i granat beer,400ml,11,5901359024028,Type
,Piwo w puszce,Beer in can (pant price is NOT included),,,,Type
Tatra,Piwo Tatra,Tratra beer,500ml,11,5901559840008,Type
Kasztelan,Piwo Kasztelan Niepasteryzowane,Kasztelan Niepasteryzowane beer,500ml,11,5903082205569,Type
Tyskie,Piwo Tyskie,Tyskie beer,500ml,11,5901359000237,Type
Żubr,Piwo Żubr,Zubr beer,500ml,11,5900877000293,Type
Lech,Piwo Lech,Lech beer,500ml,11,5900490000182,Type
Bosman,Piwo Bosman,Bosman beer,500ml,11,5901594000122,Type
Warka,Piwo Warka,Warka beer,500ml,11,5902746320020,Type
Warka,Piwo Warka Strong,Warka Strong beer,500ml,11,5902746320013,Type
Harnaś,Piwo Harnaś Okocimski,Harnas Okcimski beer,500ml,11,5900014004245,Type
,Piwo w puszce smakowe,Flavored beer in can (pant price is NOT included),,,,Type
Warka,"Piwo Warka Radler z lemoniada o smaku czarnej porzeczki i limonki, 2% alk","Warka Raddler beer with black currant and lime taste lemonade, 2% alc",500ml,11,5902746642054,Type
