ALCOHOL DRINKS,,,,,,
,BERE,BEER (pant price is NOT included),WEIGHT,"PRICE, DKK",BARCODE,Type
Ursus Breweries,"Ciucas Brasov, 4,6% alc","Ciucas Brasov, 4,6% alc",500 ml,11,5942016301212,Type
Ursus Breweries,"Ursus Premium, 5% alc","Ursus Premium, 5% alc",330 ml,11,5942016001112,Type
Ursus Breweries,"Ursus Premium, 5% alc","Ursus Premium, 5% alc",500 ml,11,5942016300017,Type
Ursus Breweries,"Ursus Black, 6% alc","Ursus Black, 6% alc",500 ml,11,5942016301366,Type
Ursus Breweries,"Timisoreana Original, 5% alc","Timisoreana Original, 5% alc",400 ml,11,5942016302042,Type
Ursus Breweries,"Timisoreana Original, 5% alc","Timisoreana Original, 5% alc",500 ml,11,5942016300260,Type
Ursus Breweries,"Stejar, 7% alc","Stejar, 7% alc",500 ml,11,5942016300611,Type
Ursus Breweries,Redd’s – Cranberry Crush,Redd’s – Cranberry Crush,400 ml,11,5942016301793,Type
Ursus Breweries,Redd’s Mojito,Redd’s Mojito,500 ml,11,5942016302097,Type
Ursus Breweries,Redd’s Light,Redd’s Light,500 ml,11,5942016302394,Type
Ursus Breweries,Redd’s Cranberry Crush,Redd’s Cranberry Crush,500 ml,11,,Type
Ursus Breweries,"Redd's Lemon Fresh, 4% alc","Redd's Lemon Fresh, 4% alc",500 ml,11,5942016300802,Type
Ursus Breweries,"Redd's Lemon Fresh, 4% alc","Redd's Lemon Fresh, 4% alc",400 ml,11,5942016301809,Type
Ursus Breweries,"Ciucas la PET, 4,6% alc","Ciucas, 5,6% alc (plastic big bottle)","2,5 l",37,5942016301571,Type
Ursus Breweries,"Timisoreana la PET, 5% alc","Timisoreana, 5% alc (plastic big bottle)","2,5 l ",37,5942016301557,Type
,VINURI,WINES,WEIGHT,"PRICE, DKK",BARCODE,Type
,Vin Rosu,Red Wine,,,,Type
Murfatlar,Lacrima lui Ovidiu White - 5 ani,Ovidiu's Tears White- 5 years,750 ml,67,,Type
Romania,Lacrima lui Ovidiu Red - 5 ani,Ovidiu's Tears Red - 5 years,750 ml,67,,Type
Romania,Lacrima lui Ovidiu - 12 ani,Ovidiu's Tears - 12 years,750 ml,110,5942002300076,Type
Romania,Zestrea - Pinot Noir demidulce,Zestrea – Pinot Noir semi-sweet,750 ml,49,594200230618,Type
Romania,Zestrea – Merlot demisec,Zestrea – Merlot semi-dry,750 ml,49,5942002000921,Type
Romania,Zestrea – Cabernet Sauvignon demise,Zestrea – Cabernet Sauvignon semi-dry,750 ml,49,5942002000914,Type
Romania,Zestra Pinot Noir,Zestra Pinot Noir,750 ml,49,,Type
Romania,Zestra Cabernet Sauvignon,Zestra Cabernet Sauvignon,750 ml,47,5942002000914,Type
,Vin Alb,White Wine,,,,Type
Romania,Zestrea – Muscat Ottonel demidulce,Zestrea – Muscat Ottonel semi-sweet,750 ml,47,5942002000877,Type
Romania,Zestrea – Pinot Gris demidulce,Zestrea – Pinot Gris semi-sweet,750 ml,47,5942002000884,Type
Romania,Conu’ Alecu demisec Sauvignon Blanc,Conu' Alecu – Semi-dry Sauvignon Blanc,750 ml,59,5942002300359,Type
Romania,Catalina alb demisec,Catalina – White wine semi-dry,750 ml,47,5942046700122,Type
Cotnari,Tamaioasa Romaneasca,Roumanian Muscatel,750 ml,47,5942046700214,Type
Cotnari,Casa de Piatra – Alb – Demisec,Casa de Piatra – White wine semi-dry,750 ml,47,5942046700221,Type
Cotnari,Grasa de Cotnari – Alb – Dulce,Grasa de Cotnari – White wine sweet,750 ml,47,5942046700207,Type
Cotnari,Grasa de Cotnari – Demidulce,Grasa de Cotnari – White wine semi-sweet,750 ml,47,5942046482219,Type
Cotnari,Grasa de Cotnari – Demisec,Grasa de Cotnari – White wine semi-dry,750 ml,47,5942046700955,Type
Cotnari,Fateasca Alba,Feteasca Alba,750 ml,47,5942046482110,Type
NON ALCOHOL DRINKS,,,,,,Type
,COMPOT,COMPOTE,WEIGHT,"PRICE, DKK",BARCODE,Type
Fravil,Compot de cirese,Cherry compote,720 g,22,5941863000439,Type
Fravil,Compot de piersici intregi nedepilate,Compot of integral unpealed apricot,700 g,18,5941865000574,Type
Raureni,Compot de caise,Peach compot,720 g,22,5941028000144,Type
Raureni,Compot de struguri,Grape compot,720 g,25,5941028000274,Type
Raureni,Compot de prune,Plum compote,720 g,25,5941028000250,Type
Cegusto,Compot de prune,Plum compote,720 g,22,5941863000682,Type
Saha Prima,Compot de visine,Sour cherry compot,720 g,22,5941863000767,Type
,SUC,JUICE,WEIGHT,"PRICE, DKK",BARCODE,Type
Raureni,"Suc de mere cu drag din natura, 100%","Apple juice, 100%",3 L,45,5941028006894,Type
MEAT PRODUCTS,,,,,,Type
,MEZELURI,"SALAMI, SAUSAGE",WEIGHT,"PRICE, DKK",BARCODE,Type
Cris-Tim,Toba,Product from swine's entrails,500 g,35,5941265010173,Type
Cris-Tim,Matache Macelaru – Pastrama vita,Beef jerky,,160,,Type
Cris-Tim,Matache macelaru – Sunca taraneasca,Country/rustic ham,,75,,Type
Cris-Tim,Matache macelaru – Cotlet haiducesc,Outlaw chop,,75,,Type
Cris-Tim,Matache macelaru – Toba,Product from swine's entrails,,100,,Type
Cris-Tim,Matache macelaru - Ciolan afumat,Smoked bone,,90,,Type
Cris-Tim,Matache Macelaru – Carnati cabanos,Cabanos Sausages,300 g,30,5941265014171,Type
Cris-Tim,Matache Macelaru – Salam Vara Uscat,Dry salami,350 g,39,5941265018667,Type
Cris-Tim,Matache Macelaru – Barnati oltenesti,Smoked sausages,300 g,30,5941265014225,Type
Cris-Tim,Bacon,Bacon,,110,,Type
Cris-Tim,Piept pui,Chicken fillet,,110,,Type
Cris-Tim,Gusa afumata,Goiter smoked,,75,,Type
Cris-Tim,Carnati bucovineni,Bucovina sausages,,75,,Type
