,,,,,,
SWEET PRODUCTS,,,,,,
,ПРЯНИКИ/ СУШКИ,GINGERBREAD/ KRINGLE PASTRIES,WEIGHT,PRICE,BARCODE,Type
Родные Просторы,"Пряники ""Холодок""","Gingerbread ""Холодок"" (""Cold"")",350g,16,,Type
Родные Просторы,"Пряники ""Медовые""","Gingerbread “Медовые"" (""Honey"")",350g,16,4260130030810,Type
Родные Просторы,"Пряники ""Клюквенные""","Gingerbread ""Клюквенные"" (""Cranberries"")",350g,16,4260130030865,Type
Родные Просторы,Пряники с карамельным вкусом,"Gingerbread "" с карамельным вкусом"" (""caramel"")",350g,16,4260130031183,Type
Родные Просторы,Пряники фруктовые,"Gingerbread ""Фруктовые"" (""Fruits"")",350g,16,4260130030827,Type
Родные Просторы,Пряники мятные,"Gingerbread ""Мятные""(""Mint"")",350g,16,4260130030803,Type
Родные Просторы,Пряники ореховые,"Gingerbread ""Ореховые"" (""Nuts"")",350g,16,4260130031084,Type
Родные Просторы,Пряники клубничные,"Gingerbread ""Клубничные""(""Strawberry"")",350g,16,4260130031008,Type
Родные Просторы,Пряники ванильные,"Gingerbread ""Ванильные""(""Vanilla"")",350g,16,4260130030858,Type
Родные Просторы,Пряники северные,"Gingerbread ""Северные""(""Northern"")",350g,16,4260130031077,Type
Родные Просторы,Пряники запарожские,"Gingerbread ""Запарожские""(""Zaparozh"")",350g,16,4260130030841,Type
Родные Просторы,Пряники шоколадные,Gingerbread chocolate,350g,16,4260130030995,Type
Бабушкины сладости,"Пряники ""Кульбабка весенняя""","Gingerbread ""Кульбабка весенняя"" (""Spring"")",450g,18,4820008833198,Type
Бабушкины сладости,Пряники сказочные,"Gingerbread ""Fairytale"" ",450g,18,4820008833228,Type
Бабушкины сладости,Пряники аромат мяты,Gingerbread with mint aroma,450g,18,4820008833181,Type
Пензенская Кондитерская Фабрика,"Пряники ""Северянка""","Gingerbread ""Северянка"" (""Northern"")",400g,18,4601021047843,Type
Пензенская Кондитерская Фабрика,Пряники с ароматом мяты,"Gingerbread ""С ароматом мяты"" (""Mint flavoured"")",400g,18,4601021044606,Type
Wija,"Пряники ""Колосок""","Gingerbread ""Колосок"" (""Spica"")",450g,18,4820008833204,Type
Wija,"Пряники ""Сказочные""","Gingerbread ""Сказочные"" (""Fairytale"")",450g,18,4820008833228,Type
Wija,"Пряники ""Кульбабка весенняя""","Gingerbread ""Кульбабка весенняя"" (""Spring"")",450g,18,4820008833198,Type
OS Retail GmbH,"Пряники ""Подмосковные""","Gingerbread ""Подмосковные"" (""Near Moscow"")",360g,16,4260352190767,Type
OS Retail GmbH,Пряники со сгущенкой,Gingerbread with condensed milk,360g,16,4260352190774,Type
OS Retail GmbH,Пряники вишневые,Gingerbread with cherry,360g,16,4260352190798,Type
OS Retail GmbH,"Пряники ""Молочные колечки""","Gingerbread ""Dairy rings""",360g,16,4260352190613,Type
OS Retail GmbH,Пряники клюквенные,Cranberry gingerbread,360g,16,4260352190804,Type
OS Retail GmbH,Пряники мятные,Mint gingerbread,360g,16,4260352190811,Type
OS Retail GmbH,Пряники ванильные,Vanilla gingerbread,360g,16,4260352190781,Type
OS Retail GmbH,"Пряники ""Северные""","Gingerbread ""Northern""",360g,16,4260352190750,Type
OS Retail GmbH,Пряники ореховые,Nuts gingerbread,360g,16,4260352190859,Type
OS Retail GmbH,Пряники яблочные,Apple gingerbread,360g,16,4260352190705,Type
H&B,"""Русское Чаепитие"" сушки любительские","Kringle pastries ""Любительские"" ",500g,20,4820076920226,Type
H&B,"""Русское Чаепитие"" сушки яичные","Kringle pastries “Яичные” (""With eggs"")",500g,20,4820076920196,Type
H&B,"""Русское Чаепитие"" сушки с маком",Kringle pastries with poppy seeds,500g,35,4820076920202,Type
H&B,"""Русское Чаепитие"" сушки ванильные",Kringle pastries with vanilla,500g,20,4820076920233,Type
H&B,"""Русское Чаепитие"" сушки овальные",Kringle pastries oval,500g,20,4820076920219,Type
H&B,"Сушка ""Малютка"" любительская","Kringle pastries ""Любительская"" ",500g,20,4820076920226,Type
H&B,"Сушка ""Малютка"" с маком",Kringle pastries with poppy seeds,500g,20,4820076920271,Type
H&B,"Сушка ""Малютка"" ванильная",Kringle pastries with vanilla,500g,20,4820076920295,Type
H&B,"Сушка ""Малютка"" глазированная",Kringle pastries glazed,500g,20,4820076920288,Type
Ксюша,"Сушки ""От Ксюши"" классические",Kringle pastries classic,500g,20,8594166820241,Type
Ulan,Сушки мятные,Kringle pastries mint,500g,20,4260007244746,Type
Ulan,Сушки лимонные,Lemon kringle pastries,500g,25,4260428460749,Type
Ulan,"Сушки ""Ромашка ванильная""","Kringle pastries ""Vanilla chamomile""",500g,20,4260007244265,Type
Воплощение,"Сушка ""Посольская малютка"" с маком",Kringle pasteries with poppy seeds,200g,8,4607041230258,Type
Воплощение,"Сушка ""Посольская малютка""",Kringle pasteries,200g,8,4607041230265,Type
,ПЕЧЕНЬЕ,BISCUITS,WEIGHT,PRICE,BARCODE,Type
Родные Просторы,Овсяное печенье классическое,"Oatmeal cookies ""Классическое"" (""Classic"")",400g,23,4260130030926,Type
Родные Просторы,Овсяное печенье со сгущёнкой,Oatmeal with condensed mik,400g,23,,Type
Родные Просторы,Овсяное печенье с изюмом,Oatmeal with raisins,400g,23,4260130030933,Type
Родные Просторы,Овсяное печенье с семечками подсолнуха,Oatmeal cookies with sunflower seeds,400g,23,4260130030940,Type
Родные Просторы,Овсяное печенье с отрубями,Oatmeal cookies with bran,400g,23,4260130030872,Type
Родные Просторы,"Печенье ""Лакомка""","Biscuits ""Lakomka""",330g,27,4260130031121,Type
К.И.О. Кондитерское Объединение,"Печенье ""Карамелька""","Biscuit ""Карамелька"" (""Caramel"")",255g,15,4607021097833,Type
